id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1748	imep	1.3916	-0.3082	3	253	543	26	2016.6923
1749	immersion	0.1961	0.3475	1	89	123	17	2016.0588
1750	immobilization	-0.2661	0.6657	1	274	478	38	2016.3947
1751	immobilized enzyme	-0.2759	0.7554	1	159	257	19	2014.0526
1752	immobilized lipase	-0.2557	0.7743	1	275	613	47	2012.383
1753	impact assessment	-0.5391	-0.7146	2	223	325	22	2015.9091
1754	impact category	-0.5536	-0.747	2	465	1135	59	2016.2373
1755	import	-0.3172	-0.7768	2	531	1081	76	2014.4868
1756	important contributor	-0.1824	-0.6685	2	143	178	10	2013.8
1757	important variable	-0.0853	0.4697	1	127	192	12	2010.75
1758	impregnation	-0.0782	0.9229	1	412	872	47	2016.766
1759	impregnation method	-0.054	0.9592	1	267	544	28	2016.1071
1760	improved combustion	1.4876	-0.1895	3	166	241	11	2017.3636
1761	incentive	-0.427	-0.6739	2	729	1812	120	2014.3833
1762	incineration	-0.5369	-0.436	2	214	314	24	2016.5
1763	income	-0.485	-0.7695	2	547	1182	71	2014.4789
1764	incomplete combustion	0.7534	-0.2463	3	364	583	34	2014.7353
1765	increment	0.5554	-0.1306	3	766	1548	89	2016.618
1766	incubation	-0.5667	0.2287	4	311	503	38	2015.7895
1767	independent variable	0.0095	0.4757	1	214	316	22	2017.9545
1768	indicated mean effective pressure	1.3313	-0.3197	3	179	286	13	2017.3077
1769	indirect effect	-0.3409	-0.7939	2	141	182	14	2013.7857
1770	indirect land use change	-0.5186	-0.8587	2	324	647	36	2013.9722
1771	individual	-0.2508	-0.51	2	144	168	18	2015.6111
1772	indonesia	-0.4053	-0.5684	2	361	569	40	2015.9
1773	induction period	0.1628	0.2794	1	337	702	71	2015.3099
1774	industrial sector	-0.2004	-0.6707	2	226	296	21	2014.4286
1775	industrialized country	-0.4933	-0.6073	2	137	177	11	2011.3636
1776	inert atmosphere	-0.2014	0.594	1	156	184	11	2015.9091
1777	inflammation	0.3972	-0.309	3	147	282	24	2016.5
1778	infrared spectroscopy	0.1193	0.42	1	286	404	28	2016
1779	infrastructure	-0.3388	-0.4638	2	1056	2337	163	2015.0368
1780	inhibition	-0.4826	0.3372	4	548	912	72	2015.2361
1781	inhibitory effect	-0.5377	0.2695	4	182	217	17	2015.1176
1782	initial concentration	-0.663	0.36	4	215	293	24	2014.8333
1783	initial ph	-0.7587	0.3425	4	165	235	14	2017.1429
1784	initial pressure	0.5913	0.2494	3	145	207	16	2017.1875
1785	initial temperature	0.615	0.2135	3	164	235	16	2017.1875
1786	initiative	-0.2857	-0.743	2	574	1210	79	2014.6962
1787	injection	1.0806	-0.1614	3	959	3595	201	2015.8607
1788	injection duration	1.3234	-0.2694	3	125	188	11	2016
1789	injection pressure	1.3835	-0.1914	3	665	2788	145	2016.2897
1790	injection process	1.1018	-0.2244	3	123	193	14	2015
1791	injection strategy	1.3636	-0.23	3	382	965	45	2017
1792	injection system	1.2593	-0.2704	3	345	715	42	2014.3095
1793	injection timing	1.399	-0.2299	3	741	3506	163	2015.9877
1794	injector	0.9984	-0.057	3	477	1129	73	2015.4247
1795	injector nozzle	1.1768	-0.1735	3	113	165	13	2012.7692
1796	inlet	0.8763	-0.1992	3	250	363	25	2015.52
1797	inlet manifold	1.2979	-0.3263	3	178	266	13	2017.0769
1798	innovation	-0.4181	-0.6674	2	459	881	72	2014.5972
1799	inoculation	-0.5567	-0.24	2	153	191	14	2012.4286
1800	inoculum	-0.5974	0.1546	4	247	361	29	2016.3103
1801	input	-0.3539	-0.5004	2	1376	3957	248	2014.6976
1802	input data	-0.2656	-0.4987	2	199	254	15	2013.8667
1803	input parameter	0.4143	-0.3553	3	351	649	36	2017
1804	insect	-0.3956	-0.0294	4	158	203	16	2014.875
1805	institution	-0.4157	-0.7857	2	257	461	36	2015.8056
1806	intake air	1.4722	-0.2444	3	169	296	15	2016.8667
1807	intake manifold	1.3723	-0.3126	3	292	685	36	2017.9167
1808	integrated approach	-0.6509	-0.1131	4	277	370	25	2017.4
1809	integrated assessment	-0.5606	-0.7508	2	166	209	13	2015
1810	integrated biorefinery	-0.4352	-0.1794	2	292	398	25	2016.4
1811	integrated process	-0.5087	0.0822	2	344	485	34	2015.9706
1812	integrated system	-0.5832	-0.4724	2	346	508	33	2015.4848
1813	intermediate	0.1074	0.3582	1	848	1989	132	2016.0227
1814	internal rate	-0.617	-0.4553	2	284	577	32	2016.0938
1815	international market	-0.4548	-0.8202	2	119	151	11	2014.4545
1816	international standard	-0.5495	0.3445	4	545	1021	66	2016.8333
1817	intervention	-0.4077	-0.6975	2	377	636	47	2015.0426
1818	interview	-0.4482	-0.8727	2	261	507	32	2015.0312
1819	intracellular lipid	-0.7908	0.2696	4	131	158	11	2014.7273
1820	inventory	-0.125	-0.6564	2	413	726	50	2013.34
1821	inventory data	-0.5993	-0.6869	2	220	383	20	2016
1822	investment	-0.5201	-0.5845	2	1104	3489	223	2014.9507
1823	investment cost	-0.4657	-0.4811	2	447	714	45	2016.2444
1824	investor	-0.5807	-0.7434	2	291	518	30	2014.6667
1825	involvement	-0.4972	-0.473	2	240	300	21	2015.9524
1826	iodine value	-0.3432	0.277	4	781	2113	149	2015.2349
1827	ion exchange	-0.0306	0.7321	1	163	221	14	2016.2857
1828	ion exchange resin	-0.071	0.7843	1	194	291	21	2014.0952
1829	ionic liquid	-0.3251	0.5922	1	439	879	65	2016.1538
1830	ipcc	-0.3808	-0.797	2	198	275	12	2013.8333
1831	ireland	-0.1895	-0.6452	2	184	254	19	2012.9474
1832	irr	-0.5985	-0.4815	2	270	480	26	2016.2692
1833	irradiation	-0.3831	0.4498	1	325	482	35	2017.6
1834	irrigation	-0.5861	-0.6353	2	394	732	50	2015
1835	irrigation water	-0.6698	-0.6731	2	116	139	10	2014.8
1836	island	-0.4213	-0.6855	2	180	240	22	2013.4091
1837	iso butanol	0.7556	0.0333	3	221	285	17	2017.2353
1838	iso octane	0.6243	0.1712	3	169	233	17	2015.6471
1839	iso paraffin	-0.1269	0.6417	1	131	191	13	2014.5385
1840	isolate	-0.8231	0.2047	4	406	915	64	2016.1719
1841	isolation	-0.7075	0.1544	4	468	871	69	2015.5652
1842	isomer	0.5773	0.2856	3	372	681	47	2016
1843	isomerization	0.0799	0.631	1	320	522	36	2015.9444
1844	isooctane	0.5516	0.2751	3	170	223	17	2017.1176
1845	isopropanol	-0.2821	0.3994	4	300	431	31	2016.5484
1846	italy	-0.4308	-0.6203	2	469	813	55	2014.2182
1847	ite	1.4392	-0.3493	3	129	247	11	2019
1848	j curca	-0.5108	-0.3823	2	163	225	19	2012.2105
1849	j curcas	-0.5645	-0.3539	2	331	701	69	2013
1850	january	-0.1469	-0.5568	2	218	295	27	2014.0741
1851	jatropha cultivation	-0.5564	-0.793	2	206	371	25	2014
1852	jatropha curcas l	-0.5144	-0.3366	2	555	1308	123	2013.7805
1853	jatropha curcas l seed	-0.2596	0.2515	1	105	131	12	2013.3333
1854	jatropha curcas oil	0.0622	0.5931	1	450	763	49	2014.9592
1855	jatropha methyl ester	0.7389	-0.3252	3	332	571	32	2014.4688
1856	jatropha plant	-0.5085	-0.4794	2	208	277	24	2015.5
1857	jatropha plantation	-0.5819	-0.7945	2	193	321	19	2013.7895
1858	jatropha production	-0.5263	-0.9001	2	127	175	11	2014.0909
1859	jcl	-0.5765	-0.5276	2	147	213	17	2013.8235
1860	jco	0.4514	0.5487	1	172	227	13	2014.2308
1861	jet a1	0.5934	-0.3001	3	93	125	11	2017
1862	jet biofuel	-0.2904	0.4895	1	181	297	20	2017.75
1863	jet fuel production	-0.6179	-0.5085	2	253	418	25	2018.56
1864	jme	0.6892	-0.297	3	272	399	22	2014.4091
1865	job	-0.3414	-0.7281	2	359	537	32	2013.625
1866	job creation	-0.4023	-0.8152	2	164	221	14	2012.7143
1867	july	-0.225	-0.572	2	213	280	22	2013.5
1868	june	-0.2278	-0.5678	2	116	145	14	2015.0714
1869	k2co3	-0.1922	0.833	1	130	172	10	2016.4
1870	karanja	0.7397	0.2386	3	330	549	37	2014.9189
1871	karanja biodiesel	1.1435	-0.1383	3	195	288	18	2016.2778
1872	karanja oil	0.8131	0.1952	3	351	626	36	2014.0278
1873	karanja oil methyl ester	1.2061	-0.2064	3	140	262	14	2015.2857
1874	kcal kg	-0.0923	0.3897	1	128	145	13	2015.3077
1875	kcal mol	0.3327	0.5952	1	107	143	12	2015.3333
1876	kenya	-0.436	-0.7348	2	127	156	12	2012.6667
1877	ketone	0.0503	0.5025	1	975	2648	176	2016.0966
1878	ketonization	-0.0314	0.6664	1	139	203	11	2016.0909
1879	key issue	-0.4079	-0.7313	2	247	332	22	2013.6818
1880	key stakeholder	-0.4247	-0.7902	2	87	106	10	2015.5
1881	kg ha	-0.4667	-0.3157	2	127	168	12	2016.0833
1882	khz	-0.1368	0.7267	1	182	294	20	2014.8
1883	kinematic viscosity	0.1548	0.3061	1	1352	4419	303	2016.0165
1884	kinetic analysis	0.3509	0.3303	3	184	245	19	2016.8947
1885	kinetic data	0.1555	0.4846	1	169	216	14	2016
1886	kinetic mechanism	0.7421	0.2423	3	239	483	37	2015.4865
1887	kinetic model	0.3243	0.4463	1	714	1893	136	2015.5588
1888	kinetic modeling	0.4708	0.4121	3	220	358	23	2015.6087
1889	kinetic modeling study	0.6769	0.2762	3	147	273	19	2016.7368
1890	kinetic parameter	-0.075	0.5358	1	445	721	53	2015.5283
1891	kinetic study	0.0914	0.6574	1	580	1279	79	2016.2152
1892	kinetics	-0.0446	0.6401	1	366	598	44	2015.0682
1893	kinetics study	-0.0565	0.666	1	221	301	16	2016.5625
1894	kj g	-0.4088	0.654	1	92	112	10	2012.1
1895	kj mol	0.0379	0.754	1	523	1169	68	2016.5441
1896	kj mol1	-0.0585	0.6919	1	311	547	32	2019.125
1897	koh	0.1069	0.6223	1	823	2530	166	2015.1928
1898	koh g	-0.1145	0.6833	1	215	374	24	2013.2083
1899	kome	1.1279	-0.2022	3	104	185	10	2015.8
1900	kpa	0.4225	0.3356	3	260	379	29	2014.8276
1901	kwh	0.2944	-0.4733	2	367	600	33	2016.8788
1902	kyoto protocol	-0.1891	-0.5398	2	166	192	15	2011.7333
1903	l day	-0.6681	-0.1248	4	151	178	13	2012.8462
1904	l h	-0.6529	0.2399	4	309	467	32	2014.6562
1905	labor	-0.4119	-0.4661	2	346	468	26	2014
1906	laminar	0.757	0.2096	3	223	575	40	2016.475
1907	laminar flame speed	0.8596	0.1608	3	168	336	23	2017.2609
1908	land	-0.5461	-0.6938	2	1233	4617	302	2013.8742
1909	land area	-0.6491	-0.6577	2	250	369	24	2012.875
1910	land availability	-0.5128	-0.8414	2	174	244	16	2012.375
1911	land use	-0.5611	-0.7823	2	646	1757	113	2013.7965
1912	land use change	-0.5568	-0.8661	2	550	1676	99	2013.9596
1913	landfilling	-0.6001	-0.55	2	101	126	11	2015.5455
1914	landscape	-0.4531	-0.7413	2	320	513	36	2015.5556
1915	large area	-0.6258	-0.483	2	147	176	12	2013.5
1916	large extent	0.01	-0.4518	2	139	165	12	2013.5
1917	large scale biodiesel production	-0.5139	0.2621	1	134	150	11	2015.5455
1918	large scale cultivation	-0.8197	-0.2383	4	221	287	18	2015
1919	laser	0.6998	0.052	3	319	549	43	2016.7442
1920	latent heat	1.1247	-0.1256	3	256	455	27	2016.1111
1921	latin america	-0.4828	-0.8138	2	146	195	14	2010.3571
1922	lauric acid	-0.288	0.4372	1	224	298	20	2016.7
1923	lca	-0.5655	-0.6959	2	1007	3941	234	2014.8034
1924	lca result	-0.6402	-0.6466	2	220	335	19	2016.2632
1925	lca study	-0.6111	-0.7556	2	197	330	22	2014.8636
1926	ldv	0.1299	-0.7405	2	141	215	13	2014.3846
1927	leaching	-0.2553	0.2983	1	498	858	49	2015.5714
1928	leaf	-0.5048	-0.3142	2	184	249	20	2014.65
1929	lemon peel oil	1.3488	-0.138	3	172	296	14	2019.5
1930	lesson	-0.2826	-0.6969	2	275	418	34	2013.5882
1931	levoglucosan	-0.0596	0.1413	1	205	297	19	2013.8947
1932	levulinic acid	-0.2119	0.5703	1	433	878	63	2017.0317
1933	lewis	-0.1546	0.7855	1	153	205	12	2018.25
1934	lewis acid	-0.178	0.8509	1	119	164	13	2017.8462
1935	lewis acid site	-0.1131	0.9088	1	225	386	25	2017.48
1936	lhsv	-0.1925	0.4921	1	169	303	26	2015.2308
1937	life cycle	-0.5085	-0.7373	2	748	2027	133	2014.5113
1938	life cycle analysis	-0.5308	-0.5947	2	637	1393	95	2014.5684
1939	life cycle approach	-0.5832	-0.8219	2	163	243	14	2012.9286
1940	life cycle assessment	-0.584	-0.6569	2	1180	5399	327	2015.37
1941	life cycle assessment approach	-0.6335	-0.7092	2	161	226	13	2017.3077
1942	life cycle emission	-0.2965	-0.8241	2	199	278	18	2013.1111
1943	life cycle environmental impact	-0.5869	-0.6938	2	183	273	15	2015.5333
1944	life cycle ghg emission	-0.6034	-0.7002	2	337	623	36	2016.1111
1945	life cycle greenhouse gas	-0.5436	-0.5489	2	327	575	32	2015.6875
1946	life cycle greenhouse gas emission	-0.4775	-0.6865	2	206	289	21	2015.5238
1947	life cycle impact	-0.7424	-0.6378	2	155	226	13	2015.0769
1948	life cycle impact assessment	-0.5507	-0.8369	2	178	285	13	2014.4615
1949	life cycle inventory	-0.5124	-0.8483	2	253	395	20	2014.45
1950	life cycle perspective	-0.4743	-0.7998	2	215	307	18	2015.3889
1951	light duty	0.73	-0.4336	3	198	267	15	2015.6
1952	light duty diesel engine	1.1147	-0.1726	3	340	626	33	2014.8485
1953	light duty vehicle	0.2652	-0.6426	2	388	693	43	2014.2558
1954	light fraction	-0.088	0.5383	1	164	210	14	2015.2143
1955	light hydrocarbon	-0.0708	0.4635	1	158	187	13	2015.8462
1956	light intensity	-0.9167	0.1711	4	354	718	49	2017.0612
1957	lignin	-0.2659	0.3045	1	1014	2359	169	2016.9704
1958	lignin content	-0.5513	-0.0122	2	167	206	16	2016.4375
1959	lignocellulose	-0.4579	0.0997	4	512	814	62	2015.6774
1960	lignocellulosic	-0.4158	-0.2104	2	179	207	14	2016.6429
1961	lignocellulosic biofuel	0.1293	0.1713	3	188	245	18	2016.3889
1962	lignocellulosic feedstock	-0.5043	-0.1764	2	384	534	38	2015.4737
1963	lignocellulosic residue	-0.4682	-0.1161	2	147	166	13	2018.9231
1964	linoleic	-0.4864	0.1789	4	224	333	27	2013.6667
1965	linoleic acid	-0.4784	0.3115	4	716	1701	114	2015.4737
1966	linolenic acid	-0.606	0.2102	4	437	833	58	2015.1897
1967	linseed oil	0.5285	0.0424	3	192	283	19	2014.7895
1968	lipase	-0.2852	0.632	1	749	2686	194	2014.6392
1969	lipase activity	-0.4075	0.6208	1	191	315	24	2012.7917
1970	lipid	-0.7212	0.2304	4	1582	7919	517	2016.1934
1971	lipid accumulation	-0.935	0.2027	4	638	2433	152	2015.6579
1972	lipid biosynthesis	-0.8399	0.2324	4	173	263	14	2017.2857
1973	lipid composition	-0.9026	0.2421	4	199	283	16	2015.5625
1974	lipid concentration	-0.9635	0.2743	4	213	358	22	2015.2727
1975	lipid content	-0.8708	0.1781	4	1031	4650	289	2015.7232
1976	lipid extraction	-0.6184	0.2118	4	758	1766	116	2016.4569
1977	lipid feedstock	-0.5153	0.4082	4	216	284	21	2014.5714
1978	lipid fraction	-0.7299	0.2788	4	322	470	27	2015.2593
1979	lipid production	-0.9429	0.1808	4	787	3557	224	2016.1161
1980	lipid productivity	-0.9336	0.2018	4	694	2624	159	2015.9371
1981	lipid profile	-0.8473	0.2335	4	294	561	35	2016
1982	lipid recovery	-0.5824	0.2748	4	184	259	16	2016.375
1983	lipid synthesis	-0.9596	0.27	4	169	281	18	2016.0556
1984	lipid yield	-0.8653	0.2306	4	644	1932	114	2015.886
1985	lipolytica	-0.8651	0.3496	4	125	196	13	2015.8462
1986	liquefaction	-0.2964	0.2942	1	530	1095	89	2015.9663
1987	liquid fraction	-0.2623	0.4655	1	283	385	29	2016.8966
1988	liquid fuel production	-0.3284	0.0845	2	164	195	13	2017.7692
1989	liquid hourly space velocity	-0.178	0.5756	1	133	212	18	2016.6667
1990	liquid hydrocarbon	-0.0471	0.5638	1	412	682	46	2016.3913
1991	liquid hydrocarbon fuel	-0.3003	0.4952	1	224	283	17	2014.8824
1992	liquid liquid extraction	-0.2446	0.301	1	115	124	11	2015.7273
1993	liquid product	-0.1208	0.7145	1	640	1685	110	2016.8182
1994	liquid transportation fuel	-0.5152	-0.1235	2	365	476	29	2014.5517
1995	liquid yield	-0.1156	0.57	1	316	553	40	2016.325
1996	liquor	-0.5543	0.1424	4	284	359	26	2016.8846
1997	literature review	-0.247	-0.5769	2	323	432	30	2014.9333
1998	livelihood	-0.465	-0.8615	2	236	420	22	2013
1999	livestock	-0.6019	-0.5436	2	203	276	17	2015.1176
2000	lng	-0.0248	-0.6814	2	104	135	11	2014.1818
2001	load	0.9204	-0.2361	3	1639	8694	485	2015.7299
2002	load condition	1.3395	-0.214	3	723	3033	147	2017.1633
2003	loading	-0.0818	0.5196	1	1190	2911	180	2016.7222
2004	loading condition	1.2531	-0.1251	3	349	820	38	2017.2895
2005	location	-0.3274	-0.5565	2	1125	2905	222	2015.464
2006	lod	0.1262	0.2584	1	94	119	12	2015.1667
2007	logistic	-0.4882	-0.7347	2	335	559	38	2014.2368
2008	long chain alcohol	0.9121	0.1409	3	172	254	13	2017
2009	long chain alkane	-0.1759	0.5812	1	146	190	13	2015.9231
2010	long chain hydrocarbon	-0.3632	0.4678	1	233	300	19	2018
2011	long run	0.0204	-0.6815	2	225	293	17	2014.4706
2012	longer ignition delay	1.4467	-0.2111	3	218	377	16	2016.375
2013	low acid value	-0.1371	0.8465	1	167	240	16	2016.25
2014	low acidity	-0.2851	0.4708	1	98	115	10	2016.6
2015	low calorific value	0.8259	0.1172	3	216	316	20	2015.7
2016	low carbon biofuel	0.6455	-0.4896	3	128	189	10	2015.9
2017	low carbon fuel	0.1787	-0.6364	2	176	224	14	2015.2143
2018	low cetane number	0.9951	-0.079	3	288	473	24	2015.9167
2019	low cost feedstock	-0.1347	0.3962	1	302	464	31	2015
2020	low emission	0.8144	-0.3994	3	371	681	40	2013.725
2021	low engine load	1.3096	-0.3122	3	159	267	12	2014.8333
2022	low iodine value	-0.5222	0.1251	4	115	134	10	2016.5
2023	low load	1.3005	-0.2779	3	417	1031	50	2015.9
2024	low load condition	1.2484	-0.2813	3	186	289	15	2016.5333
2025	low oxygen content	-0.1868	0.6108	1	152	213	13	2017.5385
2026	low pressure	0.5438	0.3556	3	211	369	25	2015
2027	low temperature combustion	1.256	-0.1227	3	276	578	30	2017.0333
2028	low temperature property	0.0974	0.4696	1	205	351	35	2013.3714
2029	low volatility	0.967	-0.2347	3	234	385	19	2012.5263
2030	lower blend	1.2784	0.0415	3	126	193	10	2013.3
2031	lower brake specific fuel consumption	1.5585	-0.1555	3	138	246	12	2017
2032	lower calorific value	1.268	-0.2436	3	183	285	17	2014.2941
2033	lower cetane number	1.2718	-0.1843	3	264	439	18	2015.7778
2034	lower co	1.0671	-0.1592	3	195	308	16	2016.875
2035	lower content	0.023	0.4733	1	148	185	16	2015.5625
2036	lower emission	0.8122	-0.3177	3	495	1020	58	2015.8448
2037	lower environmental impact	-0.5293	-0.5305	2	217	286	18	2016.6667
2038	lower exhaust emission	1.3092	-0.2243	3	163	241	13	2017.3846
2039	lower ghg emission	-0.5022	-0.6357	2	150	202	10	2014.5
2040	lower heating value	0.7522	0.0104	3	554	1108	69	2015.6087
2041	lower impact	-0.3572	-0.7488	2	172	238	16	2017.25
2042	lower level	0.5161	-0.131	3	309	445	22	2015.1364
2043	lower load	1.24	-0.2514	3	183	275	14	2016.4286
2044	lower nox	1.2016	-0.1973	3	170	228	14	2015.8571
2045	lower nox emission	1.1737	-0.2476	3	269	443	25	2016.8
2046	lower oxygen content	0.1221	0.3968	1	138	178	12	2017
2047	lower smoke	1.5663	-0.2278	3	141	231	13	2016.3077
2048	lower viscosity	0.7307	0.1618	3	329	522	29	2015.9655
2049	lowest emission	0.4784	-0.463	3	183	223	12	2017.3333
2050	lpm	1.2543	-0.2619	3	134	208	12	2019.25
2051	ltc	1.378	-0.2897	3	168	286	14	2016.8571
2052	lubricating oil	0.7286	0.024	3	261	447	38	2013.0263
2053	lubrication	0.6783	0.0105	3	151	244	26	2015.4231
2054	luc	-0.6099	-0.895	2	222	392	23	2014.6087
2055	lung	0.4005	-0.3476	3	145	273	21	2015.2857
2056	m ratio	0.1166	0.7247	1	307	598	30	2016.8333
2057	m2 g	-0.0287	0.7403	1	272	422	20	2017.35
2058	macro	-0.6857	0.0083	4	130	148	12	2015
2059	madhuca indica	0.471	0.1378	3	196	295	19	2012.8947
2060	magnesium	-0.2946	0.2705	4	239	325	25	2015.16
2061	mahua	0.6746	0.1123	3	240	364	22	2013.1818
2062	mahua oil	1.0048	0.1582	3	271	545	28	2015.1786
2063	main composition	-0.2932	0.5812	1	137	162	12	2017.1667
2064	main compound	-0.3056	0.4094	1	113	133	10	2015.7
2065	main contributor	-0.4336	-0.5867	2	222	305	16	2015.75
2066	main driver	-0.5183	-0.793	2	188	250	16	2013.25
2067	main fuel	1.0197	-0.2798	3	188	273	18	2016
2068	main injection	1.4367	-0.3076	3	141	223	12	2018.4167
2069	maintenance cost	-0.28	-0.4757	2	178	202	14	2014.8571
2070	maize	-0.5868	-0.7519	2	277	416	27	2015.1481
2071	major compound	-0.2548	0.5786	1	154	192	12	2015.9167
2072	major constituent	-0.4008	0.3603	4	256	329	20	2013.8
2073	major fatty acid	-0.7118	0.2433	4	284	527	32	2015.7812
2074	major product	-0.1122	0.5485	1	199	255	19	2016.1053
2075	malaysia	-0.3686	-0.6453	2	475	897	61	2013.918
2076	management	-0.4309	-0.4974	2	1238	3209	229	2016.0044
2077	management practice	-0.6285	-0.6652	2	295	444	27	2015.7407
2078	mandate	-0.3525	-0.7737	2	544	1113	80	2014.475
2079	manipulation	-0.7502	0.1108	4	274	420	32	2015.7188
2080	manure	-0.5334	-0.3887	2	635	1114	75	2015.5067
2081	march	-0.2358	-0.441	2	234	344	29	2012.8621
2082	marginal increase	1.1414	-0.052	3	179	285	13	2016.4615
2083	marginal land	-0.5822	-0.5254	2	524	906	53	2015.3019
2084	marine engine	0.9554	-0.1739	3	170	270	18	2015.2778
2085	marine microalgae	-0.8754	0.1123	4	167	242	15	2014.1333
2086	marker	-0.1055	-0.268	2	403	690	59	2014
2087	market	-0.3358	-0.6643	2	1337	4582	361	2013.8753
2088	market condition	-0.5251	-0.6804	2	224	322	21	2014.0952
2089	market development	-0.4476	-0.836	2	182	247	18	2013.8333
2090	market price	-0.6054	-0.5417	2	394	649	44	2015.1136
2091	market share	-0.36	-0.7797	2	233	341	23	2013.087
2092	mass concentration	0.4875	-0.3746	3	383	781	53	2014.4906
2093	mass emission	0.6885	-0.4959	3	252	428	28	2013.6786
2094	mass flow rate	0.8335	-0.2194	3	192	262	18	2015.1111
2095	mass ratio	0.0478	0.502	1	605	1069	71	2016.0986
2096	mass transfer	-0.0691	0.6151	1	265	408	30	2016.0333
2097	material flow	-0.5008	-0.525	2	132	163	14	2014.5714
2098	maturity	-0.4036	-0.3682	2	188	231	18	2015
2099	maximum bio oil yield	-0.1808	0.6592	1	186	319	23	2016.1304
2100	maximum biodiesel yield	-0.0084	0.7545	1	390	877	51	2017.1961
2101	maximum biomass	-0.9113	0.1677	4	189	311	16	2018.5
2102	maximum biomass concentration	-0.8867	0.0921	4	162	229	13	2015.3846
2103	maximum brake thermal efficiency	1.4824	-0.3615	3	193	338	16	2017
2104	maximum bte	1.3611	-0.0848	3	176	282	11	2018.1818
2105	maximum conversion	-0.1289	0.8455	1	328	561	32	2015.5312
2106	maximum cylinder pressure	1.2361	-0.1773	3	148	239	13	2016.6154
2107	maximum fame yield	-0.3323	0.5547	1	135	189	11	2016.7273
2108	maximum heat release rate	1.4271	-0.2643	3	265	499	24	2015.75
2109	maximum lipid content	-0.9737	0.1559	4	137	206	11	2015.4545
2110	maximum load	1.2013	-0.3438	3	205	349	18	2015.7778
2111	maximum power	0.9143	-0.2812	3	113	153	12	2014
2112	maximum pressure	1.3652	-0.1679	3	146	241	15	2016.3333
2113	maximum productivity	-0.742	0.3037	4	150	190	13	2015.4615
2114	maximum rate	1.1587	-0.1287	3	177	302	16	2015.3125
2115	maximum reduction	1.0017	-0.0953	3	271	413	23	2017.5217
2116	maximum specific growth rate	-0.8587	0.1286	4	109	144	10	2015.1
2117	maximum torque	1.3472	-0.3139	3	155	279	13	2013.1538
2118	maximum yield	-0.1466	0.5682	1	689	1449	95	2016.3579
2119	may	-0.2526	-0.5877	2	184	236	16	2012.5625
2120	mbms	0.7631	0.3378	3	106	267	17	2016
2121	mcm	-0.0885	0.8878	1	321	585	32	2017.3125
2122	mean effective pressure	1.3844	-0.3275	3	268	555	27	2016.2963
2123	mean square error	0.4097	0.1059	1	242	343	22	2017.4091
2124	mechanical efficiency	1.4206	-0.1642	3	168	294	16	2016.0625
2125	mechanical stirring	-0.1579	0.7709	1	124	190	11	2015.7273
2126	medium	-0.528	0.1502	4	1831	6872	463	2015.8661
2127	medium load	1.2412	-0.3638	3	200	337	16	2017.375
2128	medium term	-0.3676	-0.6746	2	191	276	20	2015.15
2129	member state	-0.2707	-0.796	2	281	464	31	2013.4839
2130	member states	-0.4345	-0.7535	2	127	170	14	2011.7857
2131	meoh	-0.2098	0.4051	1	225	299	21	2016.5238
2132	mesoporosity	-0.133	0.9601	1	189	292	16	2017.6875
2133	mesoporous silica	-0.0296	0.925	1	223	367	20	2018.1
2134	mesoporous structure	-0.0667	0.9582	1	226	362	19	2017.2632
2135	meta analysis	-0.496	-0.7459	2	170	213	15	2016.2667
2136	metabolic engineering	-0.7438	0.1592	4	298	637	49	2015.9592
2137	metabolic pathway	-0.7419	0.1164	4	271	440	31	2015.3226
2138	metabolism	-0.6406	0.0538	4	502	1181	89	2015.6854
2139	metabolite	-0.6421	0.0862	4	350	615	44	2017.3182
2140	metal	0.027	0.3656	1	1192	2980	216	2015.9444
2141	metal catalyst	-0.114	0.7302	1	246	364	23	2016.087
2142	metal content	0.161	0.389	1	261	357	24	2014.4167
2143	metal ion	-0.0217	0.4067	1	123	152	16	2016.1875
2144	metal loading	-0.0538	0.7896	1	225	361	18	2016.1111
2145	metal oxide	-0.0163	0.887	1	359	646	35	2016.4
2146	methane production	-0.4943	0.0317	4	222	327	31	2016.9677
2147	methane yield	-0.6481	0.1129	4	210	290	23	2017.4783
2148	methanol	-0.0048	0.4237	1	2361	15678	1071	2014.4622
2149	methanol concentration	-0.0101	0.4655	1	111	158	13	2013.0769
2150	methanol oil	-0.1292	0.8478	1	250	461	25	2015.36
2151	methanol oil molar ratio	0.004	0.9352	1	435	1280	74	2015.2432
2152	methanol oil ratio	0.0233	0.7564	1	323	569	35	2016.1714
2153	methanol ratio	-0.074	0.6848	1	349	651	38	2016.4211
2154	methanolysis	-0.1616	0.6638	1	521	1234	86	2013.2326
2155	methyl acetate	0.0839	0.5879	1	178	267	21	2016.0952
2156	methyl alcohol	0.8441	0.3316	3	190	296	21	2013.9524
2157	methyl biodiesel	0.1944	0.2505	1	97	126	13	2017.3077
2158	methyl butanoate	0.689	0.2347	3	88	132	13	2011.2308
2159	methyl decanoate	0.84	0.169	3	133	201	16	2015.1875
2160	methyl ester content	-0.3018	0.5532	1	315	523	39	2013.9744
2161	methyl ester production	-0.0719	0.323	1	237	334	22	2013.9091
2162	methyl ester yield	-0.293	0.6355	1	330	605	37	2013.5405
2163	methyl linoleate	0.2145	0.4131	1	148	195	19	2014.9474
